Date,High,Low,Mid,Last,Bid,Ask,Volume
2016-12-06,0.85,0.75001,0.83419,0.8313,0.831,0.83738,162093.79979722
2016-12-05,0.78654,0.75001,0.765055,0.7675,0.76271,0.7674,60152.13032104
2016-12-04,0.80548,0.76079,0.767305,0.7686,0.76611,0.7685,39399.53960313
2016-12-03,0.814,0.731,0.802745,0.79987,0.79987,0.80562,107786.14170643
2016-12-02,0.78896,0.73987,0.7648,0.76485,0.7646,0.765,38079.44059347
2016-12-01,0.76379,0.734,0.742135,0.7425,0.73987,0.7444,29259.99909526
2016-11-30,0.786,0.72,0.74575,0.7459,0.743,0.7485,83529.0139024
2016-11-29,0.7814,0.75045,0.75545,0.7556,0.7534,0.7575,34874.70166727
2016-11-28,0.79955,0.77238,0.77324,0.77248,0.77248,0.774,51123.76276011
2016-11-27,0.84,0.776,0.77875,0.7823,0.776,0.7815,21534.35006549
2016-11-26,0.86,0.7613,0.837385,0.845,0.83227,0.8425,179943.93848432
2016-11-25,0.815,0.72,0.76765,0.7642,0.7653,0.77,180944.72839987
2016-11-24,0.8472,0.81,0.81345,0.8122,0.8122,0.8147,90255.37999331
2016-11-23,0.86529,0.8302,0.83215,0.8302,0.8302,0.8341,25798.73110241
2016-11-22,0.866,0.8466,0.8477,0.8496,0.8459,0.8495,38366.44125054
2016-11-21,0.88,0.852,0.855405,0.8608,0.85011,0.8607,14651.66963082
2016-11-20,0.873,0.8521,0.863695,0.8627,0.8594,0.86799,42613.43070685
2016-11-19,0.9,0.875,0.873295,0.875,0.873,0.87359,28879.00630822
2016-11-18,0.9178,0.8878,0.89399,0.8901,0.8923,0.89568,30755.29345617
2016-11-17,0.93549,0.905,0.91,0.90919,0.9061,0.9139,34660.03499827
2016-11-16,0.9311,0.886,0.923355,0.92648,0.92071,0.926,27605.93953884
2016-11-15,0.91108,0.8887,0.89435,0.89829,0.8905,0.8982,7945.1603037
2016-11-14,0.923,0.8997,0.9027,0.9043,0.8998,0.9056,13088.62120381
2016-11-13,0.945,0.904,0.90895,0.9111,0.9068,0.9111,33631.66530997
2016-11-12,0.9349,0.89883,0.920955,0.91671,0.91801,0.9239,27807.18029599
2016-11-11,0.9624,0.9011,0.919355,0.9211,0.9175,0.92121,47857.8070065
2016-11-10,0.94,0.901,0.9158,0.9153,0.9142,0.9174,39978.93861576
2016-11-09,0.955,0.92271,0.944765,0.9504,0.93913,0.9504,34929.19643643
2016-11-08,1.0001,0.9148,0.933545,0.9301,0.9301,0.93699,65952.07872934
2016-11-06,1.0548,0.97562,0.9961,0.994,0.9929,0.9993,51214.68928098
2016-11-05,1.0703,0.96,1.05285,1.053,1.05,1.0557,110093.43760275
2016-11-04,1.0199,0.89559,0.978445,0.9621,0.9779,0.97899,158295.43617215
2016-11-03,0.92239,0.8847,0.9013,0.9049,0.8984,0.9042,73274.03173122
2016-11-02,0.90717,0.88,0.8862,0.8836,0.8834,0.889,40979.43231448
2016-11-01,0.905,0.8706,0.88791,0.89261,0.8851,0.89072,142311.33315756
2016-10-31,0.93278,0.8959,0.9021,0.905,0.9001,0.9041,76445.61340331
2016-10-30,0.9534,0.88361,0.9261,0.9273,0.9248,0.9274,159024.7471711
2016-10-29,0.9745,0.873,0.912495,0.9108,0.9076,0.91739,357805.3783916
2016-10-28,0.9982,0.95,0.951355,0.95209,0.95001,0.9527,172016.5367717
2016-10-27,1.0428,0.99001,0.99385,0.9905,0.9905,0.9972,195145.05073997
2016-10-26,1.045,1.0162,1.02945,1.028,1.0291,1.0298,73365.82884397
2016-10-25,1.0446,1.01,1.0341,1.0354,1.0306,1.0376,49177.32929651
2016-10-24,1.0616,1.0246,1.02855,1.0299,1.0271,1.03,66920.83653391
2016-10-23,1.065,1.0367,1.0504,1.05,1.05,1.0508,36342.85998684
2016-10-22,1.0736,1.0282,1.06015,1.055,1.0553,1.065,29565.89403086
2016-10-21,1.07,1.0262,1.0322,1.0309,1.0309,1.0335,32215.23095098
2016-10-20,1.064,1.0376,1.046,1.0441,1.043,1.049,12202.58958699
2016-10-19,1.0887,1.0231,1.05095,1.0538,1.0486,1.0533,56593.47982285
2016-10-18,1.0796,1.0189,1.03985,1.0419,1.0377,1.042,95484.37692004
2016-10-17,1.2349,1.0652,1.08005,1.0764,1.0776,1.0825,261938.61329663
2016-10-16,1.1476,0.9922,1.1336,1.137,1.1302,1.137,56442.49323232
2016-10-15,1.0088,0.99,0.9954,0.999,0.9928,0.998,6869.60650619
2016-10-14,1.0187,0.99,0.99235,0.995,0.99,0.9947,68835.0113415
2016-10-13,1.0548,0.983,1.0129,1.0067,1.0077,1.0181,236321.45185475
2016-10-12,1.1126,1.0105,1.03745,1.0199,1.0334,1.0415,274825.75609846
2016-10-11,1.181,1.1,1.1029,1.101,1.101,1.1048,243630.06961877
2016-10-10,1.1787,1.15,1.15395,1.1557,1.1535,1.1544,44188.97868433
2016-10-09,1.1913,1.1659,1.1691,1.1733,1.165,1.1732,10864.78620946
2016-10-08,1.1989,1.163,1.1875,1.1887,1.184,1.191,12814.36673653
2016-10-07,1.1885,1.1573,1.17195,1.1744,1.1696,1.1743,15201.32870082
2016-10-06,1.193,1.1611,1.17515,1.1758,1.1734,1.1769,18006.49988586
2016-10-05,1.23,1.155,1.18965,1.1971,1.1876,1.1917,120289.70047887
2016-10-04,1.2042,1.1266,1.16165,1.162,1.161,1.1623,137325.69169356
2016-10-03,1.22,1.16,1.1907,1.19,1.1888,1.1926,74485.0052541
2016-10-02,1.2199,1.17,1.19375,1.1949,1.1925,1.195,111906.6502761
2016-10-01,1.2653,1.1628,1.18835,1.1794,1.1848,1.1919,68715.00185126
2016-09-30,1.28,1.241,1.26465,1.2686,1.2614,1.2679,59945.05951374
2016-09-29,1.2873,1.2271,1.2871,1.2842,1.2842,1.29,88990.64120286
2016-09-28,1.269,1.1883,1.24345,1.2398,1.2424,1.2445,244145.26326156
2016-09-27,1.2089,1.1618,1.1911,1.19,1.1902,1.192,54999.44881492
2016-09-26,1.2244,1.2,1.2029,1.2047,1.2022,1.2036,113249.03156785
2016-09-25,1.2547,1.2101,1.22045,1.2152,1.2166,1.2243,48839.08702972
2016-09-24,1.2568,1.223,1.24755,1.2568,1.2441,1.251,112468.80040627
2016-09-23,1.3,1.2075,1.22885,1.2289,1.2277,1.23,107360.83733834
2016-09-22,1.3415,1.12,1.2571,1.2569,1.2569,1.2573,497073.10733993
2016-09-21,1.265,1.1899,1.2237,1.2262,1.2215,1.2259,438315.21228276
2016-09-20,1.2836,1.2266,1.2495,1.2451,1.2448,1.2542,220719.80639374
2016-09-19,1.3399,1.2772,1.282,1.2811,1.2811,1.2829,147248.49298677
2016-09-18,1.3611,1.321,1.32785,1.3307,1.3262,1.3295,247453.12237516
2016-09-17,1.3342,1.3073,1.32765,1.3201,1.3221,1.3332,103939.47225569
2016-09-16,1.3408,1.279,1.3313,1.325,1.3261,1.3365,175823.52925462
2016-09-15,1.3168,1.2822,1.28825,1.29,1.2862,1.2903,133592.95173248
2016-09-14,1.3314,1.25,1.2933,1.2909,1.2909,1.2957,224268.73702163
2016-09-13,1.3348,1.3,1.30355,1.3,1.3,1.3071,202203.45633879
2016-09-12,1.3605,1.31,1.32985,1.3281,1.3298,1.3299,161553.55057563
2016-09-11,1.4374,1.331,1.34185,1.3394,1.3391,1.3446,632023.14528327
2016-09-10,1.45,1.4,1.4251,1.4264,1.4238,1.4264,129833.70950619
2016-09-09,1.4807,1.3811,1.4118,1.4103,1.4103,1.4133,214736.24793155
2016-09-08,1.5333,1.467,1.4774,1.4757,1.4741,1.4807,104722.12019584
2016-09-07,1.4983,1.44,1.4868,1.4911,1.4813,1.4923,233780.97035976
2016-09-06,1.5279,1.4423,1.49715,1.4945,1.4945,1.4998,148621.53511665
2016-09-05,1.5477,1.4421,1.469,1.47,1.4581,1.4799,145728.86093454
2016-09-04,1.4643,1.34,1.4461,1.4371,1.4432,1.449,213658.86344061
2016-09-03,1.413,1.33,1.36685,1.3632,1.3593,1.3744,81054.00303884
2016-09-02,1.499,1.3645,1.39205,1.4093,1.3847,1.3994,316471.72377895
2016-09-01,1.4999,1.1717,1.459,1.451,1.4511,1.4669,1016932.9815938
2016-08-31,1.295,1.16,1.19335,1.1937,1.1922,1.1945,333489.15210814
2016-08-30,1.3564,1.1614,1.24725,1.2441,1.2411,1.2534,1041928.5212222
2016-08-29,1.3422,1.2375,1.26015,1.2584,1.2544,1.2659,524534.25279258
2016-08-28,1.3804,1.285,1.33765,1.3472,1.3311,1.3442,386693.34658797
2016-08-27,1.455,1.37,1.3863,1.3817,1.3789,1.3937,231050.43973307
2016-08-26,1.4777,1.3059,1.44075,1.4408,1.4407,1.4408,533493.0671668
2016-08-25,1.4702,1.2601,1.389,1.3888,1.3821,1.3959,830978.39592964
2016-08-24,1.6477,1.4371,1.46175,1.4679,1.46,1.4635,309632.8072082
2016-08-23,1.6842,1.556,1.6141,1.6111,1.6083,1.6199,300757.01990985
2016-08-22,1.75,1.62,1.6435,1.644,1.643,1.644,208404.63469214
2016-08-21,1.7836,1.6924,1.7144,1.707,1.7109,1.7179,37850.7990943
2016-08-20,1.7922,1.6721,1.7429,1.7379,1.7374,1.7484,66960.44612548
2016-08-19,1.8126,1.6046,1.7732,1.758,1.7581,1.7883,156356.19360348
2016-08-18,1.775,1.65,1.6854,1.7082,1.6745,1.6963,85891.22451221
2016-08-17,1.8717,1.6991,1.73875,1.7448,1.7311,1.7464,122713.19397129
2016-08-16,1.895,1.7757,1.85785,1.8559,1.853,1.8627,51408.73733597
2016-08-15,2.03,1.8256,1.87195,1.8861,1.86,1.8839,174891.3434099
2016-08-14,1.9837,1.8548,1.92985,1.9237,1.925,1.9347,182697.22161323
2016-08-13,1.9,1.804,1.8599,1.866,1.8526,1.8672,93627.59327676
2016-08-12,2.35,1.7693,1.8064,1.8086,1.8025,1.8103,205661.42719269
2016-08-11,1.96,1.556,1.8668,1.866,1.8646,1.869,245589.29562163
2016-08-10,1.96,1.505,1.68425,1.69,1.6785,1.69,163588.42674868
2016-08-09,0.0,0.0,2.834,2.8481,2.8131,2.8549,0.0
2016-08-08,0.0,0.0,2.834,2.8481,2.8131,2.8549,0.0
2016-08-01,2.3299,1.7701,2.26555,2.275,2.2561,2.275,1014844.0996493
2016-07-31,1.934,1.5575,1.77905,1.7765,1.7701,1.788,586125.08163476
2016-07-30,1.71,1.538,1.5628,1.5601,1.5601,1.5655,238311.63373731
2016-07-29,1.799,1.55,1.65005,1.6463,1.6471,1.653,507786.28051999
2016-07-28,2.0,1.36,1.7088,1.7132,1.702,1.7156,607423.78101433
2016-07-27,3.0,1.302,1.49215,1.5042,1.4801,1.5042,199920.32205491
